,wod_text_raw
2019-07-14,"<p>3 rounds for time of:</p>

<p>Run 400 meters<br />
15 thrusters<br />
21 inverted burpees</p>

<p>♀ 95 lb. ♂ 135 lb.</p>

<p>Practice SLIPS for 15 minutes.</p>
"
2019-07-13,"<p>3 rounds for time of:</p>

<p>Run 400 meters<br />
15 power cleans<br />
40 strict push-ups</p>

<p>♀ 105 lb. ♂ 155 lb.</p>

<p>Practice SLIPS for 15 minutes.</p>

<p>Post time to comments.</p>
"
2019-07-12,"<p>3 rounds for time of:</p>

<p>Run 400 meters<br />
15 deadlifts<br />
21 pull-ups</p>

<p>♀ 165 lb. ♂ 250 lb.</p>

<p>Practice SLIPS for 15 minutes.</p>

<p>Post time to comments.</p>
"
2019-07-11,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-07-10,"<p>Row 5,000 meters</p>

<p>7 minutes of L-sit from the floor in as few sets as possible.</p>

<p>Post both times and L-sit sets to comments.<br />
Compare to <a href=""https://www.crossfit.com/190514"" target=""_blank"">190514</a>.</p>
"
2019-07-09,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>20 minutes of scale practice and stretching.</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190616"">190616</a>.</p>
"
2019-07-08,"<p>Run 5,000 meters</p>

<p>Then, 3 rounds of:<br />
30-second left-side plank<br />
30-second reverse plank<br />
30-second right-side plank<br />
30-second front plank</p>

<p>Post run time to comments.<br />
Compare to <a href=""https://www.crossfit.com/190604"">190604</a>.</p>
"
2019-07-07,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-07-06,"<p><a href=""https://www.crossfit.com/workout/2008/10/10#/comments"">Mr. Joshua</a></p>

<p>5 rounds for time of:</p>

<p>Run 400 meters<br />
30 GHD sit-ups<br />
15 deadlifts</p>

<p>♀ 165 lb. ♂ 250 lb.</p>

<p>Post time to comments.<br />
Compare to <a href=""https://www.crossfit.com/workout/2016/07/01#/comments"">160701</a>.</p>
"
2019-07-05,"<p><a href=""https://www.crossfit.com/workout/2007/12/22#/comments"">Joshie</a></p>

<p>3 rounds for time of:</p>

<p>21 dumbbell squat snatches, right arm<br />
21 L pull-ups<br />
21 dumbbell squat snatches, left arm<br />
21 L pull-ups</p>

<p>♀ 25-lb. dumbbell ♂ 40-lb. dumbbell</p>

<p>Post time to comments.<br />
Compare to <a href=""https://www.crossfit.com/workout/2016/09/15#/comments"">160915</a>.</p>
"
